,Product ID,Review ID,Company,Review,Stars,Overall Review
0,1,1,Samsung,"Unbelievable! phone is 100 percent original and value for money, don't know how seller managed to offer the phone in such a cheap price, moreover its officially PTA approved. seller deserves 10 stars",5,Positive
1,1,2,Samsung,"Genuine samsung mobile, well packed, pta approved. I like it. Very beautiful mobile and hope it will be long lasting experience. #11.11",5,Positive
2,1,3,Samsung,"#11.11 Mobile without mobile warranty card, charger but seems good, packing was not good delivery is pathatic",5,Positive
3,1,4,Samsung,"Genuine samsung mobile, well packed, pta approved. I like it. Very beautiful mobile and hope it will be long lasting experience. #11.11",5,Positive
4,1,5,Samsung,"#11.11 Mobile without mobile warranty card, charger but seems good, packing was not good delivery is pathatic",5,Positive
5,1,6,Samsung,"Bought 3 phones and all are new, sealed pack, non active and PTA Approved. No warranty card but Daraz official warranty claimed by seller. #1111",5,Positive
6,1,7,Samsung,orignal pta approved hai.seal pack mob hai.perfomance me mobile buhat zbrdast hai.scren resulation b buhat best hai.jo b purchase karna chahty hai eyes close kar k order kar dy,5,Positive
7,1,8,Samsung,"Original Samsung A14 Phone. Its daraz official warranty, not Samsung official warranty. 100% PTA Compliance. #1111",5,Positive
8,1,9,Samsung,"no warranty card, no charging cable,no adopter ab pata nahi chalne me kia rang dekhai ga? Allah kher kare. but delivered in time & same as shown.",5,Negative
9,1,10,Samsung,phone tou kaafi acha hai aur delivery bhi bilkul time par thi aur packaging bhi seller ne achi ki hoi thi lekin jou new phone ke dabbe par plastic sheet hoti hai woh nhi thi phone par tou usska seller bas yeh confirm kardein ke yeh bikul new tha na,5,Neutral
10,1,11,Samsung,excellent quality ❤️ 💖 💕 💘 this product but charger nhi diya compney walo na mobile kafi Acha,5,Positive
11,1,12,Samsung,"best budget phone, is price me or kia chahye , warranty ki wese b zrort ni prti Samsung phones m, mere khyal m daraz pe is s achi koi deal nhi h mobiles segment me in 30k budget",5,Neutral
12,1,13,Samsung,Phone original ha official pta approved ha colour maroon mangwaya tha seller na black bheja anyway cover maroon la lia packing b fit ha delivery buht slow th Got this phone in 28419 price which is value for money,5,Positive
13,1,14,Samsung,Excellent experience with this seller. Got original product. Sealed and received on time. 10/10,5,Positive
14,1,15,Samsung,Official PTA approved dual sim UAE version box sealed packed with Samsung seal good set in this price range 👍 2 years warranty recommended,5,Positive
15,2,1,Redmi,this is the initial review. the phone is the same as shown.good thing is that it is managed directly by Daraz. packaging was amazing. order came 1 day late only.,5,Positive
16,2,2,Redmi,Daraz is very helpful😎😎I was not have enough money to buy this range mobile so i buy on installment from daraz😍😍😍 Mobile ki look boht achi hy or is range mai best hy😁Thanks daraz and seller🤓,5,Positive
17,2,3,Redmi,"Camera satisfactory nh ha, Baki mobile ok ha",3,Positive
